chain,mall_id,n_stores,n_brands,top_categories,mall_name,region,n_unique_brands
sm,sm-city-clark,434,431,"dining (161), shopping (110), cyberzone (71)",SM City Clark,north-luzon,49
robinsons,robinsons-magnolia,405,401,,Robinsons Magnolia,metro-manila,153
robinsons,robinsons-galleria-ortigas,404,395,,Robinsons Galleria,metro-manila,100
ayala,ayala-glorietta,401,376,"shop (256), dine (78), services (39)",Glorietta,metro-manila,50
ayala,ayala-trinoma,386,363,"shop (219), dine (101), services (30)",Trinoma,metro-manila,30
ayala,ayala-center-cebu,383,360,"shop (201), dine (106), services (38)",Ayala Center Cebu,visayas,58
sm,sm-seaside-city-cebu,376,373,"shopping (117), dining (116), cyberzone (42)",SM Seaside City Cebu,visayas,43
sm,sm-city-dasmarinas,361,354,"dining (116), shopping (101), cyberzone (53)",SM City Dasmariñas,south-luzon,19
sm,sm-city-davao,360,355,"dining (104), shopping (103), cyberzone (61)",SM City Davao,mindanao,48
sm,sm-city-baguio,354,349,"dining (136), shopping (101), cyberzone (45)",SM City Baguio,north-luzon,45
sm,sm-city-iloilo,352,342,"shopping (106), dining (104), cyberzone (59)",SM City Iloilo,visayas,49
sm,sm-southmall,345,342,"dining (109), shopping (94), cyberzone (49)",SM Southmall,metro-manila,21
ayala,ayala-manila-bay,341,324,"shop (173), dine (100), services (34)",Ayala Malls Manila Bay,metro-manila,33
sm,sm-city-bacolod,330,319,"shopping (106), dining (98), cyberzone (59)",SM City Bacolod,visayas,48
sm,sm-city-manila,314,311,"dining (107), shopping (68), cyberzone (48)",SM City Manila,metro-manila,23
robinsons,robinsons-antipolo,302,287,,Robinsons Place Antipolo,metro-manila,56
megaworld,venice-grand-canal-mall,301,283,"dine (121), shop (89), services (89)",Venice Grand Canal Mall,,77
ortigas,estancia,301,243,"1 (133), 4 (112), 9 (5)",Estancia,metro-manila,83
sm,sm-city-sucat,298,298,"dining (109), shopping (54), cyberzone (52)",SM City Sucat,metro-manila,20
ayala,ayala-abreeza,297,283,"shop (152), dine (69), services (39)",Abreeza,mindanao,43
sm,sm-city-bicutan,290,287,"dining (124), shopping (47), cyberzone (45)",SM City Bicutan,metro-manila,13
sm,sm-city-san-lazaro,290,290,"dining (104), shopping (75), cyberzone (49)",SM City San Lazaro,metro-manila,11
robinsons,robinsons-novaliches,287,276,,Robinsons Novaliches,metro-manila,167
sm,sm-city-bacoor,276,275,"dining (94), shopping (59), cyberzone (58)",SM City Bacoor,south-luzon,7
ayala,ayala-capitol-central,268,188,"shop (123), dine (91), services (24)",Ayala Malls Capitol Central,visayas,42
sm,sm-city-lipa,262,262,"dining (95), shopping (77), cyberzone (43)",SM City Lipa,south-luzon,13
sm,sm-city-cabanatuan,259,259,"dining (74), shopping (64), cyberzone (62)",SM City Cabanatuan,north-luzon,18
gmall,gmall-of-tagum,259,255,"retail (131), food (72), services (42)",GMall of Tagum,mindanao,113
sm,sm-lanang,257,254,"dining (79), shopping (70), cyberzone (45)",SM Lanang,mindanao,31
ayala,ayala-up-town-center,256,220,"shop (110), dine (93), services (28)",U. P. Town Center,metro-manila,17
megaworld,uptown-mall,244,243,"shop (112), dine (94), services (38)",Uptown Mall,,42
sm,sm-city-marilao,242,240,"dining (86), shopping (55), cyberzone (52)",SM City Marilao,north-luzon,15
robinsons,robinsons-tacloban,241,225,,Robinsons Place Tacloban,visayas,69
sm,sm-city-grand-central,240,240,"dining (99), shopping (49), cyberzone (43)",SM City Grand Central,metro-manila,10
ayala,ayala-marquee,238,231,"shop (115), dine (72), services (32)",MarQuee Mall,north-luzon,29
sm,sm-city-batangas,236,236,"dining (79), shopping (63), cyberzone (46)",SM City Batangas,south-luzon,12
robinsons,robinsons-ilocos,235,224,,Robinsons Place Ilocos,north-luzon,61
robinsons,galleria-south,231,207,,Robinsons Galleria South,south-luzon,37
ayala,ayala-greenbelt,229,220,"shop (156), dine (50), services (12)",Greenbelt,metro-manila,79
sm,sm-cdo-downtown,229,229,"dining (71), shopping (58), cyberzone (32)",SM CDO Downtown Premier,mindanao,37
sm,sm-city-baliwag,228,228,"dining (91), cyberzone (48), shopping (44)",SM City Baliwag,north-luzon,13
robinsons,robinsons-tuguegarao,228,222,,Robinsons Place Tuguegarao,north-luzon,63
sm,sm-city-calamba,228,226,"dining (75), cyberzone (55), shopping (48)",SM City Calamba,south-luzon,9
ayala,ayala-feliz,226,221,"shop (90), dine (83), services (29)",Ayala Malls Feliz,metro-manila,19
robinsons,robinsons-iligan,225,216,,Robinsons Place Iligan,mindanao,86
sm,sm-city-lucena,221,221,"dining (60), shopping (58), cyberzone (52)",SM City Lucena,south-luzon,25
ayala,ayala-centrio,214,209,"shop (123), dine (52), services (21)",Centrio Mall,mindanao,33
